"","uri","count","dia","uriOrdinal"
"46","getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",87,"viernes 7",1
"47","getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",193,"viernes 7",2
"48","getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",52,"viernes 7",3
"49","getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",102,"viernes 7",4
"50","getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",84,"viernes 7",5
"51","getFilters (/v3/authservices/rest/filter/{storeId})",178,"viernes 7",6
"52","getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",84,"viernes 7",7
"53","getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",93,"viernes 7",8
"54","getRankingById (/v3/authservices/rest/ranking/{storeId})",56,"viernes 7",9
"55","getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",80,"viernes 7",10
"56","getSaleById (/v3/authservices/rest/sale/{storeId})",979,"viernes 7",11
"57","getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",67,"viernes 7",12
"58","getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",95,"viernes 7",13
"59","getStockById (/v3/authservices/rest/stock/{storeId})",94,"viernes 7",14
"60","getWeatherById (/v3/authservices/rest/weather/{storeId})",213,"viernes 7",15
"1","getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",105,"lunes 10",1
"2","getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",319,"lunes 10",2
"3","getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",123,"lunes 10",3
"4","getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",163,"lunes 10",4
"5","getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",99,"lunes 10",5
"6","getFilters (/v3/authservices/rest/filter/{storeId})",224,"lunes 10",6
"7","getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",100,"lunes 10",7
"8","getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",156,"lunes 10",8
"9","getRankingById (/v3/authservices/rest/ranking/{storeId})",86,"lunes 10",9
"10","getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",160,"lunes 10",10
"11","getSaleById (/v3/authservices/rest/sale/{storeId})",1140,"lunes 10",11
"12","getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",101,"lunes 10",12
"13","getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",160,"lunes 10",13
"14","getStockById (/v3/authservices/rest/stock/{storeId})",163,"lunes 10",14
"15","getWeatherById (/v3/authservices/rest/weather/{storeId})",225,"lunes 10",15
"16","getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",89,"lunes 3",1
"17","getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",307,"lunes 3",2
"18","getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",107,"lunes 3",3
"19","getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",159,"lunes 3",4
"20","getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",87,"lunes 3",5
"21","getFilters (/v3/authservices/rest/filter/{storeId})",226,"lunes 3",6
"22","getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",88,"lunes 3",7
"23","getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",157,"lunes 3",8
"24","getRankingById (/v3/authservices/rest/ranking/{storeId})",89,"lunes 3",9
"25","getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",143,"lunes 3",10
"26","getSaleById (/v3/authservices/rest/sale/{storeId})",1090,"lunes 3",11
"27","getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",79,"lunes 3",12
"28","getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",148,"lunes 3",13
"29","getStockById (/v3/authservices/rest/stock/{storeId})",140,"lunes 3",14
"30","getWeatherById (/v3/authservices/rest/weather/{storeId})",214,"lunes 3",15
"31","getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",128,"sabado 1",1
"32","getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",149,"sabado 1",2
"33","getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",16,"sabado 1",3
"34","getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",76,"sabado 1",4
"35","getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",122,"sabado 1",5
"36","getFilters (/v3/authservices/rest/filter/{storeId})",232,"sabado 1",6
"37","getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",122,"sabado 1",7
"38","getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",72,"sabado 1",8
"39","getRankingById (/v3/authservices/rest/ranking/{storeId})",31,"sabado 1",9
"40","getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",70,"sabado 1",10
"41","getSaleById (/v3/authservices/rest/sale/{storeId})",1430,"sabado 1",11
"42","getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",51,"sabado 1",12
"43","getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",73,"sabado 1",13
"44","getStockById (/v3/authservices/rest/stock/{storeId})",77,"sabado 1",14
"45","getWeatherById (/v3/authservices/rest/weather/{storeId})",329,"sabado 1",15
"461","getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",113,"sabado 8",1
"471","getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",135,"sabado 8",2
"481","getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",15,"sabado 8",3
"491","getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",74,"sabado 8",4
"501","getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",109,"sabado 8",5
"511","getFilters (/v3/authservices/rest/filter/{storeId})",249,"sabado 8",6
"521","getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",110,"sabado 8",7
"531","getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",58,"sabado 8",8
"541","getRankingById (/v3/authservices/rest/ranking/{storeId})",44,"sabado 8",9
"551","getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",63,"sabado 8",10
"561","getSaleById (/v3/authservices/rest/sale/{storeId})",1320,"sabado 8",11
"571","getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",57,"sabado 8",12
"581","getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",67,"sabado 8",13
"591","getStockById (/v3/authservices/rest/stock/{storeId})",70,"sabado 8",14
"601","getWeatherById (/v3/authservices/rest/weather/{storeId})",292,"sabado 8",15
